,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
35,-0.34,Sat Mar 10 16:08:39 +0000 2018,0.769,0.231,0.0,Mount Shinmoedake: Warning over Japan's James Bond volcano https://t.co/2ujbRh7XEC,36,BBCWorld
36,0.0,Sat Mar 10 15:59:55 +0000 2018,1.0,0.0,0.0,Trump's military parade set for Veterans' Day https://t.co/ihiiw4EgGl,37,BBCWorld
37,-0.4767,Sat Mar 10 15:51:39 +0000 2018,0.693,0.307,0.0,Yountville attack: California hostage-taker was former patient https://t.co/bnbanXDflp,38,BBCWorld
38,-0.8074,Sat Mar 10 14:57:34 +0000 2018,0.552,0.448,0.0,"Taliban attacks Afghan soldiers in Farah, killing at least 24 https://t.co/hkDO6OaE9R",39,BBCWorld
39,-0.1027,Sat Mar 10 14:18:14 +0000 2018,0.726,0.153,0.121,"Tillerson in Africa: US diplomat 'feeling unwell', cancels Kenya plans https://t.co/vcN3Ubwy8w",40,BBCWorld
40,0.0,Sat Mar 10 14:18:14 +0000 2018,1.0,0.0,0.0,DR Congo signs new mining law despite companies' opposition https://t.co/y6YqMChnSy,41,BBCWorld
41,0.4404,Sat Mar 10 13:49:39 +0000 2018,0.791,0.0,0.209,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",42,BBCWorld
42,0.5859,Sat Mar 10 13:34:48 +0000 2018,0.678,0.0,0.322,Transgender beauty queen's plea for equality after pageant https://t.co/qfqkrwL5eE,43,BBCWorld
43,0.0,Sat Mar 10 13:23:00 +0000 2018,1.0,0.0,0.0,"Eastern Ghouta: Syrian army splits enclave in three, reports say https://t.co/Qo4W0jmVWW",44,BBCWorld
44,0.0,Sat Mar 10 13:23:00 +0000 2018,1.0,0.0,0.0,"Bernie Sanders stirs Texas crowd, is he running for something? https://t.co/WoEFbOzJec",45,BBCWorld
45,-0.0258,Sat Mar 10 12:37:23 +0000 2018,0.864,0.136,0.0,Week-old baby western lowland gorilla in Congo https://t.co/BSDymzlh4K,46,BBCWorld
46,-0.6249,Sat Mar 10 10:45:08 +0000 2018,0.745,0.255,0.0,Papua New Guinea quake: An invisible disaster which could change life forever https://t.co/zmQSA0yGdz,47,BBCWorld
47,0.0,Sat Mar 10 09:02:46 +0000 2018,1.0,0.0,0.0,"ICYMI: Rhinos, robots and tattoos https://t.co/BhZXEpkNoC",48,BBCWorld
48,0.1139,Sat Mar 10 08:46:00 +0000 2018,0.659,0.157,0.184,"RT @BBCNews: Russian spy: Daughter Yulia Skripal didn't deserve poisoning, friend says https://t.co/ZgeGhpqUMl",49,BBCWorld
49,0.5719,Sat Mar 10 06:38:00 +0000 2018,0.598,0.0,0.402,Chile creates law to protect its ocean habitat https://t.co/3ZV7g76L31,50,BBCWorld
50,-0.128,Sat Mar 10 06:07:53 +0000 2018,0.842,0.158,0.0,Jade Hameister: Silencing sexists in a -50C wind chill https://t.co/LUiuqT9jYG,51,BBCWorld
51,-0.4019,Sat Mar 10 05:55:35 +0000 2018,0.748,0.252,0.0,US trade: Is Trump right about the deficit? https://t.co/FwbpjSG5H2,52,BBCWorld
52,-0.6249,Sat Mar 10 05:55:35 +0000 2018,0.661,0.339,0.0,Colombia's Farc: Choosing the ballot box over violence https://t.co/UpdS63NNWm,53,BBCWorld
53,0.0,Sat Mar 10 05:55:35 +0000 2018,1.0,0.0,0.0,National Front: Whatever happened to France's far right? https://t.co/BThm7n4RWa,54,BBCWorld
54,-0.1531,Sat Mar 10 05:55:35 +0000 2018,0.873,0.127,0.0,Trump Kim talks: The tricky task of preparing for the summit https://t.co/bElIeKlqMX,55,BBCWorld
55,-0.5423,Sat Mar 10 05:43:40 +0000 2018,0.696,0.304,0.0,California veterans' home becomes site of fatal shooting https://t.co/6bRwNYBrIz,56,BBCWorld
